,bairro_group,bairro,latitude,longitude,room_type,price,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365,reviews
7572,Queens,Elmhurst,40.74595,-73.88691,Private room,69,1,20,0.57,5,65,1
7573,Manhattan,Harlem,40.81645,-73.94483,Private room,62,5,47,0.9,1,89,1
7574,Brooklyn,Greenpoint,40.73125,-73.95905,Entire home/apt,150,2,8,0.16,1,0,1
7575,Brooklyn,Prospect-Lefferts Gardens,40.6589,-73.95969,Entire home/apt,118,5,1,0.02,1,0,1
7576,Manhattan,East Village,40.72322,-73.98283,Entire home/apt,195,12,10,0.2,1,64,1
7577,Manhattan,Washington Heights,40.85494,-73.93179,Private room,75,1,155,4.42,1,314,1
7578,Brooklyn,Clinton Hill,40.68319,-73.96766,Entire home/apt,135,14,20,0.46,1,41,1
7579,Manhattan,West Village,40.73398,-74.00369,Entire home/apt,450,2,3,0.08,1,260,1
7580,Manhattan,Washington Heights,40.83891,-73.93758,Private room,45,1,10,0.19,1,0,1
7581,Manhattan,Chelsea,40.74405,-73.99915,Entire home/apt,250,3,164,3.21,1,71,1
7582,Brooklyn,Greenpoint,40.72705,-73.95504,Private room,70,5,0,0.0,2,0,0
7583,Manhattan,Upper West Side,40.77937,-73.97805,Entire home/apt,120,1,1,0.02,1,0,1
7584,Brooklyn,Gowanus,40.68202,-73.98151,Private room,125,2,40,0.77,1,295,1
7585,Manhattan,Upper East Side,40.7711,-73.95627,Entire home/apt,118,30,4,0.08,29,283,1
7586,Queens,Ridgewood,40.70066,-73.90964,Private room,50,1,0,0.0,1,0,0
7587,Brooklyn,Bedford-Stuyvesant,40.68421,-73.92608,Entire home/apt,100,2,107,2.23,1,41,1
7588,Brooklyn,Bedford-Stuyvesant,40.6792,-73.95358,Private room,40,10,2,0.04,1,0,1
7589,Manhattan,Financial District,40.7091,-74.01286,Entire home/apt,225,1,3,0.07,1,0,1
7590,Manhattan,Hell's Kitchen,40.76646,-73.98805,Entire home/apt,185,30,6,0.2,39,281,1
7591,Manhattan,West Village,40.74033,-74.00872,Private room,225,1,17,0.34,1,365,1
7592,Brooklyn,Williamsburg,40.71212,-73.94965,Entire home/apt,155,4,58,1.21,3,3,1
7593,Manhattan,Upper East Side,40.78301,-73.95085,Entire home/apt,165,1,166,3.3,1,210,1
7594,Brooklyn,Boerum Hill,40.68897,-73.98634,Entire home/apt,165,30,3,0.06,21,339,1
7595,Brooklyn,Greenpoint,40.72573,-73.94071,Entire home/apt,149,30,1,0.05,52,357,1
7596,Manhattan,Upper East Side,40.77276,-73.95557,Entire home/apt,142,30,3,0.1,29,315,1
7597,Queens,Forest Hills,40.71811,-73.83368,Private room,59,4,138,2.69,1,35,1
7598,Manhattan,Harlem,40.80403,-73.95615,Entire home/apt,200,2,6,0.12,1,0,1
7599,Brooklyn,Prospect Heights,40.67758,-73.96452,Entire home/apt,125,7,1,0.03,1,0,1
7600,Brooklyn,Park Slope,40.66568,-73.9774,Entire home/apt,181,2,238,4.57,1,302,1
7601,Brooklyn,Williamsburg,40.70314,-73.93656,Private room,90,2,3,1.73,1,18,1
7602,Brooklyn,Kensington,40.63694,-73.97487,Private room,70,3,8,0.17,1,0,1
7603,Manhattan,Lower East Side,40.72019,-73.99297,Entire home/apt,150,2,3,0.13,1,0,1
7604,Manhattan,Upper West Side,40.79589,-73.96187,Entire home/apt,225,3,13,0.25,1,0,1
7605,Manhattan,Upper West Side,40.77737,-73.98355,Entire home/apt,240,7,8,0.16,1,38,1
7606,Brooklyn,Prospect-Lefferts Gardens,40.66012,-73.96078,Entire home/apt,98,5,11,0.24,1,0,1
7607,Manhattan,Washington Heights,40.8558,-73.93025,Entire home/apt,100,5,15,0.29,1,30,1
7608,Manhattan,West Village,40.73271,-74.00545,Entire home/apt,200,2,8,0.19,1,0,1
7609,Brooklyn,Downtown Brooklyn,40.68927,-73.98423,Entire home/apt,150,1,2,0.04,1,0,1
7610,Brooklyn,Williamsburg,40.71239,-73.96178,Private room,65,5,0,0.0,1,0,0
7611,Brooklyn,Crown Heights,40.67219,-73.95461,Private room,129,30,18,0.36,3,339,1
7612,Brooklyn,Williamsburg,40.70506,-73.93201,Private room,65,7,1,0.02,1,0,1
7613,Manhattan,Financial District,40.70854,-73.99992,Private room,70,7,12,0.28,1,318,1
7614,Manhattan,Upper West Side,40.77655,-73.98074,Entire home/apt,200,3,9,0.19,1,0,1
7615,Queens,Ditmars Steinway,40.77842,-73.90994,Private room,58,1,34,0.66,2,129,1
7616,Brooklyn,Williamsburg,40.70835,-73.95226,Entire home/apt,180,4,67,1.32,1,304,1
7617,Manhattan,Nolita,40.72217,-73.99481,Private room,120,7,3,0.06,3,0,1
7618,Manhattan,Upper West Side,40.77556,-73.98416,Entire home/apt,244,4,38,0.74,1,222,1
7619,Brooklyn,Flatbush,40.64295,-73.95276,Private room,40,3,20,0.38,1,131,1
7620,Manhattan,Upper East Side,40.76939,-73.9504,Entire home/apt,150,1,0,0.0,1,0,0
7621,Brooklyn,Greenpoint,40.72102,-73.94382,Entire home/apt,135,2,249,4.84,2,248,1
7622,Manhattan,Upper West Side,40.78519,-73.97032,Entire home/apt,150,5,0,0.0,1,0,0
7623,Brooklyn,Fort Greene,40.68914,-73.97406,Entire home/apt,200,1,0,0.0,2,0,0
7624,Brooklyn,Bedford-Stuyvesant,40.6801,-73.90976,Private room,65,1,24,0.47,2,80,1
7625,Brooklyn,Park Slope,40.66812,-73.98303,Entire home/apt,140,2,232,4.46,1,326,1
7626,Brooklyn,Williamsburg,40.70905,-73.95152,Private room,80,1,0,0.0,1,0,0
7627,Brooklyn,Greenpoint,40.7254,-73.94051,Entire home/apt,129,30,1,0.12,52,311,1
7628,Queens,East Elmhurst,40.7583,-73.87679,Entire home/apt,112,2,3,0.35,1,338,1
7629,Brooklyn,Gowanus,40.67959,-73.98713,Private room,80,2,48,0.93,1,0,1
7630,Manhattan,Chinatown,40.71491,-73.99182,Entire home/apt,149,7,6,0.12,1,241,1
7631,Manhattan,Hell's Kitchen,40.75437,-73.99334,Private room,99,4,2,0.04,1,0,1
7632,Manhattan,Harlem,40.82171,-73.95515,Private room,50,1,6,0.12,1,0,1
7633,Brooklyn,Bushwick,40.69226,-73.92286,Entire home/apt,190,2,34,0.69,1,341,1
7634,Queens,Rego Park,40.72799,-73.85543,Private room,70,2,175,3.45,2,349,1
7635,Bronx,Tremont,40.84061,-73.88858,Private room,30,3,11,0.45,3,0,1
7636,Manhattan,East Harlem,40.79733,-73.9363,Private room,96,21,14,1.38,1,3,1
7637,Brooklyn,Park Slope,40.66801,-73.98142,Private room,85,7,0,0.0,1,0,0
7638,Manhattan,Midtown,40.75858,-73.96342,Entire home/apt,200,2,0,0.0,1,0,0
7639,Manhattan,Upper East Side,40.7729,-73.95587,Entire home/apt,118,30,3,0.11,29,204,1
7640,Manhattan,Kips Bay,40.73894,-73.98049,Entire home/apt,150,2,21,0.4,1,191,1
7641,Manhattan,Morningside Heights,40.80317,-73.96338,Private room,50,20,0,0.0,1,0,0
7642,Brooklyn,Bedford-Stuyvesant,40.68411,-73.92079,Entire home/apt,99,3,0,0.0,1,0,0
7643,Manhattan,Harlem,40.82003,-73.95745,Entire home/apt,350,1,4,0.08,2,365,1
7644,Manhattan,Murray Hill,40.74415,-73.97322,Private room,165,1,0,0.0,1,0,0
7645,Brooklyn,Bushwick,40.6878,-73.91452,Entire home/apt,225,3,82,1.58,3,255,1
7646,Manhattan,Lower East Side,40.72292,-73.99242,Entire home/apt,110,30,17,0.34,9,276,1
7647,Manhattan,SoHo,40.72386,-74.00462,Entire home/apt,245,4,8,0.16,1,52,1
7648,Manhattan,Harlem,40.81732,-73.94757,Private room,65,2,58,1.12,1,24,1
7649,Manhattan,East Village,40.73065,-73.98444,Private room,100,1,0,0.0,1,0,0
7650,Queens,Flushing,40.74513,-73.83139,Private room,60,1,100,1.93,8,76,1
7651,Manhattan,Upper West Side,40.7726,-73.97928,Shared room,68,3,105,2.09,1,302,1
7652,Brooklyn,Bushwick,40.70754,-73.92138,Private room,55,2,0,0.0,1,0,0
7653,Brooklyn,Clinton Hill,40.69174,-73.96872,Entire home/apt,195,3,6,0.12,1,0,1
7654,Manhattan,Upper East Side,40.76545,-73.95668,Entire home/apt,120,7,0,0.0,1,0,0
7655,Brooklyn,Williamsburg,40.715,-73.95018,Entire home/apt,80,10,3,0.06,1,0,1
7656,Manhattan,Hell's Kitchen,40.76525,-73.98953,Entire home/apt,195,5,55,1.09,1,34,1
7657,Manhattan,East Village,40.72915,-73.98866,Entire home/apt,275,1,1,0.02,1,0,1
7658,Staten Island,Tompkinsville,40.62105,-74.08723,Private room,49,2,151,3.06,2,277,1
7659,Brooklyn,Kensington,40.64455,-73.98298,Private room,30,21,1,0.02,2,1,1
7660,Manhattan,Upper West Side,40.79246,-73.97481,Entire home/apt,150,5,48,0.93,1,0,1
7661,Brooklyn,Clinton Hill,40.6896,-73.96761,Entire home/apt,140,5,5,0.1,1,0,1
7662,Manhattan,East Village,40.72478,-73.9755,Entire home/apt,160,7,9,0.24,1,0,1
7663,Manhattan,East Village,40.72481,-73.98216,Private room,125,3,4,0.08,1,0,1
7664,Brooklyn,Bushwick,40.70212,-73.93032,Private room,48,7,0,0.0,1,0,0
7665,Brooklyn,Crown Heights,40.67383,-73.95137,Private room,50,2,61,1.17,7,285,1
7666,Manhattan,East Harlem,40.79088,-73.94597,Private room,100,1,315,6.1,2,76,1
7667,Manhattan,East Harlem,40.79082,-73.94615,Shared room,50,1,181,3.49,2,46,1
7668,Manhattan,Upper East Side,40.76236,-73.95827,Entire home/apt,320,30,9,0.19,1,215,1
7669,Manhattan,Washington Heights,40.84347,-73.93978,Private room,200,7,41,0.8,1,87,1
7670,Manhattan,Morningside Heights,40.80593,-73.9583,Private room,70,2,200,3.92,1,202,1
7671,Brooklyn,Williamsburg,40.71335,-73.9655,Private room,70,3,16,0.49,1,0,1
7672,Brooklyn,Brooklyn Heights,40.69758,-73.99139,Entire home/apt,200,2,2,0.05,1,0,1
7673,Manhattan,Upper East Side,40.77107,-73.95517,Entire home/apt,100,30,71,1.42,3,248,1
7674,Manhattan,Financial District,40.70471,-74.00817,Private room,150,3,2,0.04,1,0,1
7675,Manhattan,East Village,40.73141,-73.98737,Entire home/apt,185,1,9,0.24,1,0,1
7676,Manhattan,Lower East Side,40.7189,-73.99182,Entire home/apt,125,3,117,2.29,1,228,1
7677,Brooklyn,Flatbush,40.65409,-73.96025,Private room,148,1,11,0.22,2,90,1
7678,Manhattan,Midtown,40.75245,-73.97342,Private room,295,1,6,0.12,3,0,1
7679,Brooklyn,Williamsburg,40.71375,-73.96312,Private room,80,7,0,0.0,1,0,0
7680,Bronx,Williamsbridge,40.8789,-73.84855,Private room,45,14,27,0.55,4,325,1
7681,Brooklyn,Prospect-Lefferts Gardens,40.65854,-73.95071,Entire home/apt,114,2,81,1.57,2,160,1
7682,Queens,Woodside,40.74905,-73.90185,Private room,37,1,0,0.0,1,0,0
7683,Brooklyn,Bushwick,40.70033,-73.93964,Private room,45,6,13,0.25,1,0,1
7684,Brooklyn,Crown Heights,40.67169,-73.95117,Entire home/apt,85,2,14,0.28,2,0,1
7685,Queens,Ditmars Steinway,40.7778,-73.9144,Private room,150,1,0,0.0,1,0,0
7686,Manhattan,Chelsea,40.74157,-74.00141,Entire home/apt,240,1,0,0.0,1,0,0
7687,Manhattan,Harlem,40.8261,-73.95139,Private room,65,1,157,3.04,4,137,1
7688,Manhattan,Nolita,40.72102,-73.99469,Entire home/apt,280,3,122,2.35,1,113,1
7689,Brooklyn,Bushwick,40.69611,-73.92258,Private room,65,1,1,0.02,1,0,1
7690,Brooklyn,Clinton Hill,40.69439,-73.96484,Private room,65,1,136,5.72,2,11,1
7691,Queens,Rego Park,40.72846,-73.85546,Private room,65,1,120,2.35,2,355,1
7692,Brooklyn,Boerum Hill,40.68821,-73.9903,Private room,120,1,0,0.0,1,0,0
7693,Brooklyn,Bedford-Stuyvesant,40.68777,-73.94171,Entire home/apt,255,6,12,0.24,1,66,1
7694,Queens,Ridgewood,40.70152,-73.90568,Private room,54,3,47,0.93,2,321,1
7695,Manhattan,Upper West Side,40.77647,-73.98211,Entire home/apt,175,1,0,0.0,1,0,0
7696,Brooklyn,Bedford-Stuyvesant,40.69307,-73.96073,Private room,90,30,30,0.58,6,338,1
7697,Brooklyn,Clinton Hill,40.69454,-73.96198,Private room,90,30,47,0.91,6,297,1
7698,Brooklyn,Bedford-Stuyvesant,40.69363,-73.9607,Private room,90,30,47,0.92,6,323,1
7699,Manhattan,Harlem,40.82943,-73.9407,Entire home/apt,120,5,28,0.82,1,355,1
7700,Brooklyn,Williamsburg,40.71122,-73.95602,Entire home/apt,210,1,3,0.06,1,0,1
7701,Manhattan,Morningside Heights,40.8063,-73.96268,Entire home/apt,150,7,2,0.05,1,0,1
7702,Manhattan,Upper East Side,40.77907,-73.95211,Entire home/apt,140,2,135,2.68,1,228,1
7703,Bronx,Longwood,40.82209,-73.90086,Private room,80,1,2,0.32,1,255,1
7704,Brooklyn,Crown Heights,40.66907,-73.94168,Entire home/apt,200,2,61,1.18,1,341,1
7705,Brooklyn,Park Slope,40.67681,-73.97535,Entire home/apt,450,6,12,0.24,1,2,1
7706,Manhattan,East Harlem,40.79372,-73.94316,Entire home/apt,200,30,0,0.0,1,0,0
7707,Manhattan,Harlem,40.82682,-73.94634,Private room,116,2,129,2.5,1,89,1
7708,Manhattan,Chinatown,40.71647,-73.99116,Entire home/apt,215,1,36,1.45,4,0,1
7709,Manhattan,Harlem,40.82505,-73.95294,Entire home/apt,160,30,36,0.7,2,0,1
7710,Manhattan,Upper East Side,40.77155,-73.94763,Private room,150,25,2,0.04,1,110,1
7711,Brooklyn,Bedford-Stuyvesant,40.68828,-73.92056,Private room,40,1,0,0.0,1,0,0
7712,Brooklyn,Greenpoint,40.72704,-73.94007,Entire home/apt,149,30,7,0.15,52,335,1
7713,Manhattan,Chinatown,40.71509,-73.9967,Entire home/apt,65,5,108,2.1,1,0,1
7714,Brooklyn,Williamsburg,40.71603,-73.94785,Entire home/apt,260,7,56,1.08,1,132,1
7715,Brooklyn,Bushwick,40.69476,-73.92359,Entire home/apt,400,1,2,0.04,4,179,1
7716,Brooklyn,Williamsburg,40.71671,-73.95591,Private room,90,1,1,0.02,1,0,1
7717,Queens,Astoria,40.76956,-73.91787,Private room,75,2,6,0.12,1,0,1
7718,Manhattan,East Harlem,40.80906,-73.93686,Private room,75,2,45,0.94,1,123,1
7719,Manhattan,Upper East Side,40.77139,-73.95766,Entire home/apt,110,1,3,0.07,1,0,1
7720,Brooklyn,Park Slope,40.68018,-73.97596,Private room,115,2,153,3.0,3,0,1
7721,Brooklyn,East Flatbush,40.65406,-73.9506,Private room,20,1,0,0.0,1,0,0
7722,Brooklyn,Bushwick,40.68917,-73.91549,Private room,49,1,0,0.0,1,0,0
7723,Queens,Ridgewood,40.70573,-73.89873,Private room,100,180,0,0.0,1,266,0
7724,Manhattan,East Village,40.72956,-73.98613,Entire home/apt,82,5,3,0.07,1,0,1
7725,Manhattan,West Village,40.73379,-74.00422,Private room,90,1,5,0.1,1,0,1
7726,Brooklyn,Bushwick,40.68638,-73.91368,Private room,69,2,148,2.86,5,112,1
7727,Brooklyn,Bushwick,40.6863,-73.91378,Private room,69,3,127,2.48,5,40,1
7728,Brooklyn,East Flatbush,40.65041,-73.92574,Entire home/apt,249,3,10,0.65,5,156,1
7729,Brooklyn,Bushwick,40.68691,-73.91317,Private room,89,3,116,2.24,5,83,1
7730,Brooklyn,Bushwick,40.6864,-73.9133,Private room,159,3,30,0.59,5,254,1
7731,Manhattan,Flatiron District,40.74121,-73.98648,Entire home/apt,220,1,1,0.02,1,0,1
7732,Brooklyn,Bushwick,40.70088,-73.91831,Private room,95,3,12,0.25,1,0,1
7733,Brooklyn,Williamsburg,40.71047,-73.95732,Private room,60,1,13,0.39,1,0,1
7734,Manhattan,Chinatown,40.7149,-73.99976,Entire home/apt,179,5,7,0.14,1,0,1
7735,Manhattan,Hell's Kitchen,40.76348,-73.99344,Private room,120,3,0,0.0,1,0,0
7736,Brooklyn,Williamsburg,40.71228,-73.96103,Entire home/apt,275,5,0,0.0,1,0,0
7737,Manhattan,Harlem,40.82862,-73.94706,Private room,86,1,8,0.17,3,325,1
7738,Brooklyn,Williamsburg,40.71251,-73.9517,Private room,62,3,47,1.14,1,24,1
7739,Manhattan,Upper East Side,40.77554,-73.95141,Entire home/apt,165,6,46,0.92,1,3,1
7740,Brooklyn,Clinton Hill,40.68498,-73.96618,Entire home/apt,89,14,4,0.11,2,343,1
7741,Manhattan,Upper East Side,40.7717,-73.95572,Entire home/apt,116,30,2,0.05,29,333,1
7742,Brooklyn,Bedford-Stuyvesant,40.68449,-73.95893,Entire home/apt,172,30,6,0.14,21,221,1
7743,Manhattan,Lower East Side,40.71832,-73.98325,Entire home/apt,125,7,11,0.22,1,20,1
7744,Queens,Astoria,40.76279,-73.92039,Entire home/apt,90,2,16,0.31,1,0,1
7745,Brooklyn,Borough Park,40.64032,-73.99728,Private room,50,30,0,0.0,43,361,0
7746,Manhattan,Upper West Side,40.77636,-73.98937,Entire home/apt,250,1,3,0.07,1,0,1
7747,Brooklyn,Bedford-Stuyvesant,40.68469,-73.93467,Entire home/apt,185,3,213,4.14,3,298,1
7748,Bronx,Williamsbridge,40.87765,-73.86318,Entire home/apt,63,5,85,2.24,1,235,1
7749,Manhattan,Chelsea,40.74302,-74.00015,Entire home/apt,163,3,12,0.24,1,0,1
7750,Manhattan,Upper West Side,40.8034,-73.96832,Shared room,40,1,0,0.0,1,0,0
7751,Manhattan,East Village,40.73182,-73.9845,Private room,195,5,19,0.37,1,178,1
7752,Brooklyn,Flatlands,40.62345,-73.93001,Private room,89,1,68,1.31,3,365,1
7753,Manhattan,Washington Heights,40.8538,-73.93197,Shared room,45,2,2,0.04,2,0,1
7754,Brooklyn,Prospect Heights,40.67417,-73.96518,Private room,60,1,5,0.1,1,0,1
7755,Manhattan,Lower East Side,40.71735,-73.98213,Private room,125,1,44,1.15,3,284,1
7756,Manhattan,East Village,40.73172,-73.98874,Entire home/apt,220,2,0,0.0,1,0,0
7757,Brooklyn,Flatbush,40.64802,-73.96063,Entire home/apt,85,2,11,0.78,1,0,1
7758,Brooklyn,Williamsburg,40.70691,-73.9481,Entire home/apt,165,4,73,1.42,1,237,1
7759,Manhattan,Upper East Side,40.76813,-73.95354,Entire home/apt,144,7,17,0.35,3,0,1
7760,Brooklyn,Greenpoint,40.72684,-73.95628,Private room,75,1,0,0.0,1,0,0
7761,Brooklyn,Williamsburg,40.70217,-73.93737,Private room,60,4,3,0.09,2,25,1
7762,Brooklyn,Bedford-Stuyvesant,40.69363,-73.9598,Private room,95,30,40,0.8,11,331,1
7763,Brooklyn,Bedford-Stuyvesant,40.69442,-73.96016,Private room,95,30,53,1.05,11,201,1
7764,Brooklyn,Clinton Hill,40.69344,-73.96153,Private room,95,30,46,0.9,11,317,1
7765,Brooklyn,Bedford-Stuyvesant,40.69498,-73.96002,Private room,95,30,35,0.69,11,340,1
7766,Brooklyn,Clinton Hill,40.69292,-73.96151,Private room,95,30,43,0.84,11,312,1
7767,Bronx,Longwood,40.81935,-73.90772,Private room,65,5,15,0.69,2,150,1
7768,Staten Island,Great Kills,40.5517,-74.14636,Entire home/apt,65,5,62,1.22,1,336,1
7769,Brooklyn,Greenpoint,40.72232,-73.9434,Entire home/apt,110,2,248,4.82,2,1,1
7770,Queens,Astoria,40.77093,-73.93291,Private room,47,5,7,0.13,3,236,1
7771,Queens,Ditmars Steinway,40.77842,-73.92549,Private room,175,30,5,0.31,1,283,1
7772,Brooklyn,Williamsburg,40.71124,-73.95256,Entire home/apt,234,4,11,0.23,1,0,1
7773,Brooklyn,Prospect-Lefferts Gardens,40.65516,-73.95882,Entire home/apt,105,14,43,0.83,1,319,1
7774,Queens,Flushing,40.754,-73.80701,Private room,47,2,40,0.81,3,311,1
7775,Queens,Flushing,40.76173,-73.80767,Private room,55,2,55,1.12,3,342,1
7776,Manhattan,Harlem,40.80796,-73.95623,Entire home/apt,146,5,67,2.17,2,239,1
7777,Staten Island,St. George,40.64567,-74.08368,Entire home/apt,60,4,118,2.54,2,17,1
7778,Manhattan,Hell's Kitchen,40.76799,-73.98644,Private room,61,12,31,0.6,4,102,1
7779,Manhattan,Chinatown,40.71758,-73.99201,Private room,84,1,2,0.08,1,2,1
7780,Manhattan,East Harlem,40.78935,-73.94788,Entire home/apt,179,2,55,1.06,1,185,1
7781,Queens,Astoria,40.76384,-73.92023,Private room,100,1,0,0.0,1,365,0
7782,Brooklyn,Greenpoint,40.72492,-73.95097,Entire home/apt,175,1,1,0.02,1,0,1
7783,Manhattan,Chelsea,40.74621,-73.99119,Entire home/apt,250,2,1,0.02,1,0,1
7784,Manhattan,Kips Bay,40.74405,-73.97781,Private room,150,1,0,0.0,1,0,0
7785,Brooklyn,Bedford-Stuyvesant,40.68336,-73.91449,Entire home/apt,83,3,57,1.13,2,264,1
7786,Brooklyn,Crown Heights,40.67768,-73.93682,Entire home/apt,105,1,59,1.15,2,213,1
7787,Brooklyn,Greenpoint,40.7229,-73.94775,Entire home/apt,125,2,5,0.1,1,0,1
7788,Brooklyn,Bedford-Stuyvesant,40.67953,-73.95136,Private room,150,7,12,0.25,1,0,1
7789,Brooklyn,Williamsburg,40.71614,-73.95282,Private room,69,30,16,0.45,2,225,1
7790,Brooklyn,Bedford-Stuyvesant,40.68701,-73.95412,Entire home/apt,190,2,1,0.04,1,0,1
7791,Brooklyn,Williamsburg,40.71288,-73.94406,Private room,76,2,34,0.7,1,39,1
7792,Brooklyn,Brooklyn Heights,40.69713,-73.99235,Private room,45,120,0,0.0,1,146,0
7793,Manhattan,SoHo,40.72741,-74.00178,Private room,142,5,8,0.16,1,188,1
7794,Manhattan,Hell's Kitchen,40.76115,-73.98707,Entire home/apt,125,7,4,0.08,1,0,1
7795,Manhattan,Hell's Kitchen,40.76738,-73.98466,Entire home/apt,200,3,14,0.32,1,9,1
7796,Brooklyn,Clinton Hill,40.68963,-73.96713,Private room,259,1,94,1.85,11,365,1
7797,Brooklyn,Park Slope,40.67616,-73.97418,Entire home/apt,275,5,1,0.03,1,0,1
7798,Manhattan,NoHo,40.72951,-73.99203,Entire home/apt,179,1,28,0.54,1,0,1
7799,Brooklyn,Fort Greene,40.69634,-73.97296,Private room,70,1,152,3.02,1,249,1
7800,Manhattan,East Village,40.73101,-73.99087,Private room,300,2,0,0.0,1,0,0
7801,Manhattan,Hell's Kitchen,40.76042,-73.99021,Entire home/apt,300,3,0,0.0,1,0,0
7802,Brooklyn,Clinton Hill,40.69354,-73.96152,Entire home/apt,259,2,99,3.07,1,296,1
7803,Manhattan,Harlem,40.82896,-73.94059,Private room,50,1,0,0.0,1,0,0
7804,Manhattan,West Village,40.72934,-74.00276,Entire home/apt,300,2,6,0.27,1,0,1
7805,Brooklyn,Park Slope,40.6748,-73.97736,Entire home/apt,95,3,4,0.08,1,270,1
7806,Brooklyn,Williamsburg,40.71604,-73.9589,Private room,132,1,143,2.99,4,273,1
7807,Queens,Long Island City,40.7477,-73.94438,Private room,80,4,3,0.06,1,0,1
7808,Manhattan,Upper East Side,40.7817,-73.94613,Private room,85,3,3,0.09,1,0,1
7809,Brooklyn,Gowanus,40.6777,-73.99126,Entire home/apt,246,4,0,0.0,1,0,0
7810,Queens,Flushing,40.75518,-73.80422,Private room,50,1,154,3.05,3,243,1
7811,Brooklyn,Greenpoint,40.72777,-73.95231,Entire home/apt,75,2,6,0.14,1,0,1
7812,Manhattan,Gramercy,40.73536,-73.98393,Entire home/apt,209,30,27,0.53,1,197,1
7813,Manhattan,NoHo,40.72634,-73.9932,Entire home/apt,330,2,4,0.08,1,0,1
7814,Queens,Long Island City,40.7618,-73.92728,Shared room,55,1,26,0.55,2,84,1
7815,Manhattan,Upper West Side,40.79788,-73.9618,Private room,60,7,1,0.02,1,0,1
7816,Brooklyn,Williamsburg,40.70965,-73.96817,Entire home/apt,180,30,4,0.13,1,13,1
7817,Manhattan,Harlem,40.80947,-73.95392,Entire home/apt,300,2,60,1.18,2,198,1
7818,Manhattan,Inwood,40.87093,-73.91737,Entire home/apt,175,3,6,0.13,1,0,1
7819,Manhattan,Harlem,40.82335,-73.94887,Private room,100,3,4,0.08,1,358,1
7820,Brooklyn,Greenpoint,40.72102,-73.94808,Entire home/apt,175,5,21,0.41,1,0,1
7821,Brooklyn,Prospect-Lefferts Gardens,40.66149,-73.95222,Private room,60,1,0,0.0,1,0,0
7822,Brooklyn,Fort Greene,40.69134,-73.97229,Entire home/apt,175,10,1,0.03,1,189,1
7823,Manhattan,Chelsea,40.74717,-73.99179,Private room,105,1,158,3.08,1,105,1
7824,Brooklyn,Kensington,40.63555,-73.97151,Entire home/apt,49,5,21,0.42,1,34,1
7825,Brooklyn,Bushwick,40.69904,-73.91282,Private room,65,2,37,0.78,1,0,1
7826,Manhattan,Upper East Side,40.77635,-73.95616,Entire home/apt,450,5,37,0.86,4,108,1
7827,Manhattan,Upper West Side,40.79092,-73.97426,Entire home/apt,185,3,59,1.17,1,4,1
7828,Brooklyn,Bedford-Stuyvesant,40.68402,-73.95176,Private room,57,2,104,2.33,1,0,1
7829,Brooklyn,Cypress Hills,40.68085,-73.88895,Entire home/apt,79,1,91,1.81,2,255,1
7830,Brooklyn,South Slope,40.66923,-73.98714,Entire home/apt,218,2,137,2.79,1,250,1
7831,Manhattan,Hell's Kitchen,40.75709,-73.99545,Entire home/apt,70,30,11,0.23,7,333,1
7832,Brooklyn,Red Hook,40.67477,-74.01046,Entire home/apt,350,2,71,1.45,1,287,1
7833,Brooklyn,Boerum Hill,40.68401,-73.98521,Private room,100,4,120,2.36,1,22,1
7834,Brooklyn,Borough Park,40.6409,-73.99891,Entire home/apt,150,3,51,1.07,1,180,1
7835,Queens,Ridgewood,40.70914,-73.90737,Entire home/apt,45,4,0,0.0,1,0,0
7836,Queens,Ridgewood,40.70399,-73.91195,Private room,46,4,17,0.39,2,262,1
7837,Brooklyn,Fort Greene,40.6942,-73.97104,Private room,50,1,2,0.06,1,0,1
7838,Manhattan,Harlem,40.81506,-73.94851,Entire home/apt,285,30,74,1.47,4,284,1
7839,Brooklyn,Crown Heights,40.67215,-73.95753,Entire home/apt,220,2,5,0.1,1,0,1
7840,Manhattan,Lower East Side,40.71769,-73.98801,Private room,125,1,1,0.02,1,0,1
7841,Manhattan,East Harlem,40.79155,-73.94746,Private room,80,1,70,1.36,4,102,1
7842,Queens,Astoria,40.7701,-73.93219,Private room,58,1,2,0.04,3,249,1
7843,Brooklyn,Bushwick,40.69709,-73.93538,Entire home/apt,100,2,143,3.41,1,0,1
7844,Brooklyn,Bedford-Stuyvesant,40.67955,-73.94662,Entire home/apt,175,2,42,0.82,1,0,1
7845,Manhattan,Upper East Side,40.78155,-73.95175,Entire home/apt,1200,5,43,0.9,1,309,1
7846,Queens,Astoria,40.76105,-73.92068,Private room,60,2,0,0.0,1,0,0
7847,Brooklyn,Prospect Heights,40.67949,-73.97172,Entire home/apt,160,2,105,2.05,1,18,1
7848,Manhattan,Harlem,40.82846,-73.94492,Private room,65,1,6,0.12,1,341,1
7849,Manhattan,East Village,40.73235,-73.98646,Entire home/apt,499,30,11,0.52,2,332,1
7850,Manhattan,SoHo,40.72703,-74.00286,Entire home/apt,350,2,10,0.2,1,0,1
7851,Brooklyn,Bedford-Stuyvesant,40.68459,-73.93985,Entire home/apt,105,2,127,3.88,3,113,1
7852,Brooklyn,Williamsburg,40.71151,-73.95339,Entire home/apt,245,5,32,0.63,1,305,1
